A1,3,0,1
B1,4,0,1
C1,5,0,1
D1,6,0,1
E1,7,0,1
F1,8,0,1
G1,9,0,1
H1,10,0,1
A2,11,0,1
B2,12,0,1
C2,13,0,1
D2,14,0,1
E2,3,6,1
F2,4,6,1
G2,5,6,1
H2,6,6,1
A3,7,6,1
B3,8,6,1
C3,9,6,1
D3,10,6,1
E3,11,6,1
F3,12,6,1
G3,13,6,1
H3,14,6,1
A4,3,12,1
B4,4,12,1
C4,5,12,1
D4,6,12,1
E4,7,12,1
F4,8,12,1
G4,9,12,1
H4,10,12,1
A5,11,12,1
B5,12,12,1
C5,13,12,1
D5,14,12,1
E5,3,18,1
F5,4,18,1
G5,5,18,1
H5,6,18,1
A6,7,18,1
B6,8,18,1
C6,9,18,1
D6,10,18,1
E6,11,18,1
F6,12,18,1
G6,13,18,1
H6,14,18,1
A7,33,0,1
B7,34,0,1
C7,35,0,1
D7,36,0,1
E7,37,0,1
F7,38,0,1
G7,39,0,1
H7,40,0,1
A8,41,0,1
B8,42,0,1
C8,43,0,1
D8,44,0,1
E8,33,6,1
F8,34,6,1
G8,35,6,1
H8,36,6,1
A9,37,6,1
B9,38,6,1
C9,39,6,1
D9,40,6,1
E9,41,6,1
F9,42,6,1
G9,43,6,1
H9,44,6,1
A10,33,12,1
B10,34,12,1
C10,35,12,1
D10,36,12,1
E10,37,12,1
F10,38,12,1
G10,39,12,1
H10,40,12,1
A11,41,12,1
B11,42,12,1
C11,43,12,1
D11,44,12,1
E11,33,18,1
F11,34,18,1
G11,35,18,1
H11,36,18,1
A12,37,18,1
B12,38,18,1
C12,39,18,1
D12,40,18,1
E12,41,18,1
F12,42,18,1
G12,43,18,1
H12,44,18,1
A1,3,0,0
A2,4,0,0
A3,5,0,0
A4,6,0,0
A5,7,0,0
A6,8,0,0
A7,9,0,0
A8,10,0,0
A9,11,0,0
A10,12,0,0
A11,13,0,0
A12,14,0,0
B1,3,6,0
B2,4,6,0
B3,5,6,0
B4,6,6,0
B5,7,6,0
B6,8,6,0
B7,9,6,0
B8,10,6,0
B9,11,6,0
B10,12,6,0
B11,13,6,0
B12,14,6,0
C1,3,12,0
C2,4,12,0
C3,5,12,0
C4,6,12,0
C5,7,12,0
C6,8,12,0
C7,9,12,0
C8,10,12,0
C9,11,12,0
C10,12,12,0
C11,13,12,0
C12,14,12,0
D1,3,18,0
D2,4,18,0
D3,5,18,0
D4,6,18,0
D5,7,18,0
D6,8,18,0
D7,9,18,0
D8,10,18,0
D9,11,18,0
D10,12,18,0
D11,13,18,0
D12,14,18,0
E1,33,0,0
E2,34,0,0
E3,35,0,0
E4,36,0,0
E5,37,0,0
E6,38,0,0
E7,39,0,0
E8,40,0,0
E9,41,0,0
E10,42,0,0
E11,43,0,0
E12,44,0,0
F1,33,6,0
F2,34,6,0
F3,35,6,0
F4,36,6,0
F5,37,6,0
F6,38,6,0
F7,39,6,0
F8,40,6,0
F9,41,6,0
F10,42,6,0
F11,43,6,0
F12,44,6,0
G1,33,12,0
G2,34,12,0
G3,35,12,0
G4,36,12,0
G5,37,12,0
G6,38,12,0
G7,39,12,0
G8,40,12,0
G9,41,12,0
G10,42,12,0
G11,43,12,0
G12,44,12,0
H1,33,18,0
H2,34,18,0
H3,35,18,0
H4,36,18,0
H5,37,18,0
H6,38,18,0
H7,39,18,0
H8,40,18,0
H9,41,18,0
H10,42,18,0
H11,43,18,0
H12,44,18,0
